Total trades,Total Winning Trades,Total Losing Trades,Starting Balance,Finishing Balance,Win Rate,Ratio Avg Win/Loss,Longs Count,Longs Percentage,Shorts Percentage,Shorts Count,Fee,Net Profit,Net Profit Percentage,Average Win,Average Loss,Expectancy,Expectancy Percentage,Expected Net Profit Every 100 Trades,Avg Holding Time (sec),Avg Holding Time,Avg Winning Holding Time (sec),Avg Winning Holding Time,Avg Losing Holding Time (sec),Avg Losing Holding Time,Gross Profit,Gross Loss,Max Drawdown,Annual Return,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Omega Ratio,Serenity Index,Smart Sharpe,Smart Sortino,Total Open Trades,Open PL,Winning Streak,Losing Streak,Largest Losing Trade,Largest Winning Trade,Current Streak,Hyperparameters
27,6,21,10000.0,11575.65,0.22,4.6,27,100.0,0.0,0,446.3,1575.65,15.76,1099.3,239.06,58.36,0.58,58.36,90853.33333333333,25h 14m 13.33s,228980.0,63h 36m 20.00s,51388.57142857143,14h 16m 28.57s,6595.81,-5020.16,-20.11,42.43,1.04,2.11,1.91,1.28,0.44,0.9,1.64,0,0,2,7,-263.48,1247.57,-1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.98, rsi: 10"""
35,6,29,10000.0,9210.51,0.17,4.23,35,100.0,0.0,0,524.99,-789.49,-7.89,914.6,216.45,-22.56,-0.23,-22.56,70189.71428571429,19h 29m 49.71s,174980.0,48h 36m 20.00s,48508.96551724138,13h 28m 28.97s,5487.62,-6277.11,-24.69,-18.03,-0.27,-0.73,-0.45,0.94,-0.1,-0.25,-0.42,0,0,1,8,-243.91,1162.36,-2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.98, rsi: 8"""
27,6,21,10000.0,10802.02,0.22,4.08,27,100.0,0.0,0,428.65,802.02,8.02,937.4,229.64,29.7,0.3,29.7,78562.22222222222,21h 49m 22.22s,173670.0,48h 14m 30.00s,51388.57142857143,14h 16m 28.57s,5624.41,-4822.39,-20.11,20.5,0.65,1.02,1.17,1.17,0.2,0.56,1.0,0,0,2,7,-250.54,1043.77,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.98, rsi: 10"""
33,6,27,10000.0,10097.25,0.18,4.57,33,100.0,0.0,0,516.69,97.25,0.97,1034.14,226.21,2.95,0.03,2.95,84354.54545454546,23h 25m 54.55s,232580.0,64h 36m 20.00s,51415.555555555555,14h 16m 55.56s,6204.87,-6107.62,-21.82,2.37,0.26,0.11,0.45,1.06,0.02,0.23,0.4,0,0,1,8,-249.5,1187.36,-2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.98, rsi: 9"""
47,11,36,10000.0,8538.46,0.23,2.61,47,100.0,0.0,0,650.08,-1461.54,-14.62,522.64,200.29,-31.1,-0.31,-31.1,57371.48936170213,15h 56m 11.49s,138512.72727272726,38h 28m 32.73s,32578.333333333332,9h 2m 58.33s,5749.07,-7210.61,-26.49,-31.75,-0.68,-1.2,-1.19,0.87,-0.12,-0.67,-1.18,1,105.11,2,8,-228.77,1128.35,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.98, rsi: 5"""
40,8,32,10000.0,9127.55,0.2,3.49,40,100.0,0.0,0,589.46,-872.45,-8.72,742.67,212.93,-21.81,-0.22,-21.81,72744.0,20h 12m 24.00s,176955.0,49h 9m 15.00s,46691.25,12h 58m 11.25s,5941.33,-6813.79,-23.53,-19.8,-0.3,-0.84,-0.51,0.94,-0.11,-0.29,-0.5,0,0,2,8,-234.25,1152.8,-2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.98, rsi: 6"""
36,7,29,10000.0,9556.96,0.19,3.86,36,100.0,0.0,0,560.46,-443.04,-4.43,866.5,224.43,-12.31,-0.12,-12.31,76903.33333333333,21h 21m 43.33s,184937.14285714287,51h 22m 17.14s,50826.206896551725,14h 7m 6.21s,6065.52,-6508.55,-23.31,-10.38,-0.05,-0.45,-0.09,0.99,-0.07,-0.05,-0.09,0,0,2,8,-254.32,1152.8,-3,"""xparam: 70, take_profit: 1.12, stop_loss: 0.98, rsi: 7"""
35,6,29,10000.0,8573.47,0.17,3.69,35,100.0,0.0,0,503.15,-1426.53,-14.27,764.82,207.43,-40.76,-0.41,-40.76,62588.57142857143,17h 23m 8.57s,130640.0,36h 17m 20.00s,48508.96551724138,13h 28m 28.97s,4588.92,-6015.45,-25.53,-31.07,-0.74,-1.22,-1.18,0.85,-0.16,-0.68,-1.09,0,0,1,8,-231.0,958.23,-2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.98, rsi: 8"""
47,11,36,10000.0,8556.27,0.23,2.62,47,100.0,0.0,0,655.93,-1443.73,-14.44,529.7,201.96,-30.72,-0.31,-30.72,54390.63829787234,15h 6m 30.64s,125776.36363636363,34h 56m 16.36s,32578.333333333332,9h 2m 58.33s,5826.68,-7270.41,-25.33,-31.4,-0.69,-1.24,-1.2,0.87,-0.13,-0.68,-1.19,1,105.11,2,8,-224.82,937.91,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.98, rsi: 5"""
40,8,32,10000.0,9027.77,0.2,3.43,40,100.0,0.0,0,588.72,-972.23,-9.72,728.72,212.56,-24.31,-0.24,-24.31,69369.0,19h 16m 9.00s,160080.0,44h 28m 0.00s,46691.25,12h 58m 11.25s,5829.72,-6801.95,-21.88,-21.9,-0.37,-1.0,-0.63,0.92,-0.14,-0.37,-0.63,0,0,2,8,-235.53,966.18,-2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.98, rsi: 6"""
