Total trades,Total Winning Trades,Total Losing Trades,Starting Balance,Finishing Balance,Win Rate,Ratio Avg Win/Loss,Longs Count,Longs %,Shorts %,Shorts Count,Fee,Net Profit,Net Profit %,Average Win,Average Loss,Expectancy,Expectancy %,Expected Net Profit Every 100 Trades,Avg Holding Time,Avg Winning Holding Time,Avg Losing Holding Time,Gross Profit,Gross Loss,Max Drawdown,Annual Return,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Omega Ratio,Serenity Index,Total Open Trades,Open PL,Winning Streak,Losing Streak,Largest Losing Trade,Largest Winning Trade,Current Streak,Hyperparameters
24,17,7,10000.0,10974.94,0.71,0.55,24,100.0,0.0,0,393.04,974.94,9.75,227.76,413.84,40.62,0.41,40.62,57h 56m 5.00s,64h 22m 38.82s,42h 17m 17.14s,3871.84,-2896.9,-13.38,25.22,0.9,1.89,1.59,1.21,inf,1,0.0,6,2,-609.67,985.17,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 6"""
13,7,6,10000.0,9843.71,0.54,0.81,13,100.0,0.0,0,187.72,-156.29,-1.56,413.5,508.46,-12.02,-0.12,-12.02,106h 1m 27.69s,106h 27m 51.43s,105h 30m 40.00s,2894.5,-3050.79,-15.73,-3.74,0.04,-0.24,0.06,1.01,inf,1,73.28,3,3,-534.63,931.08,3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 10"""
17,10,7,10000.0,10474.9,0.59,0.79,17,100.0,0.0,0,262.92,474.9,4.75,426.66,541.67,27.94,0.28,27.94,99h 49m 7.06s,117h 43m 30.00s,74h 14m 17.14s,4266.58,-3791.69,-15.72,11.87,0.49,0.75,0.81,1.11,inf,1,77.95,3,3,-574.6,967.64,3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 9"""
20,12,8,10000.0,10106.19,0.6,0.69,20,100.0,0.0,0,307.07,106.19,1.06,325.25,474.6,5.31,0.05,5.31,80h 30m 15.00s,91h 52m 5.00s,63h 27m 30.00s,3902.99,-3796.79,-19.03,2.59,0.24,0.14,0.37,1.05,inf,1,0.0,3,3,-585.98,985.92,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 8"""
24,17,7,10000.0,11565.91,0.71,0.68,24,100.0,0.0,0,403.62,1565.91,15.66,232.61,341.21,65.25,0.65,65.25,57h 20m 55.00s,64h 22m 38.82s,40h 16m 42.86s,3954.41,-2388.5,-10.61,42.14,1.37,3.97,2.62,1.35,inf,1,0.0,6,2,-506.83,1009.11,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 6"""
33,24,9,10000.0,11559.67,0.73,0.55,33,100.0,0.0,0,542.79,1559.67,15.6,207.68,380.52,47.26,0.47,47.26,50h 7m 30.91s,54h 36m 2.50s,38h 11m 26.67s,4984.34,-3424.67,-19.13,41.96,1.23,2.19,2.14,1.28,inf,1,0.0,7,2,-602.25,995.41,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 5"""
21,14,7,10000.0,10481.92,0.67,0.57,21,100.0,0.0,0,324.88,481.92,4.82,266.75,464.65,22.95,0.23,22.95,72h 5m 45.71s,75h 53m 12.86s,64h 30m 51.43s,3734.43,-3252.52,-19.63,12.05,0.52,0.61,0.84,1.11,inf,1,0.0,6,3,-577.67,985.17,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 7"""
33,24,9,10000.0,12180.44,0.73,0.65,33,100.0,0.0,0,558.37,2180.44,21.8,213.44,326.9,66.07,0.66,66.07,49h 47m 12.73s,54h 36m 2.50s,36h 57m 0.00s,5122.56,-2942.12,-15.68,61.09,1.66,3.9,3.16,1.4,inf,1,0.0,7,2,-505.63,995.41,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 5"""
21,14,7,10000.0,11161.42,0.67,0.72,21,100.0,0.0,0,336.91,1161.42,11.61,275.37,384.82,55.31,0.55,55.31,71h 26m 0.00s,75h 53m 12.86s,62h 31m 34.29s,3855.17,-2693.75,-16.2,30.42,1.03,1.88,1.8,1.24,inf,1,0.0,6,3,-467.38,985.17,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 7"""
20,12,8,10000.0,10875.2,0.6,0.85,20,100.0,0.0,0,319.2,875.2,8.75,336.09,394.74,43.76,0.44,43.76,78h 58m 24.00s,91h 52m 5.00s,59h 37m 52.50s,4033.11,-3157.91,-15.57,22.48,0.8,1.44,1.31,1.18,inf,1,0.0,3,3,-472.2,985.92,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 8"""
25,14,11,10000.0,10756.69,0.56,0.96,25,100.0,0.0,0,390.99,756.69,7.57,291.54,302.26,30.27,0.3,30.27,53h 38m 19.20s,65h 49m 17.14s,38h 8m 0.00s,4081.59,-3324.91,-16.84,19.28,0.76,1.15,1.26,1.17,inf,1,0.0,4,4,-353.34,985.17,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 7"""
17,10,7,10000.0,11269.19,0.59,0.98,17,100.0,0.0,0,274.47,1269.19,12.69,442.58,450.95,74.66,0.75,74.66,98h 1m 3.53s,117h 43m 30.00s,69h 51m 51.43s,4425.82,-3156.63,-13.05,33.49,1.01,2.57,1.77,1.24,inf,1,84.04,3,3,-482.79,978.39,3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 9"""
14,7,7,10000.0,10047.32,0.5,1.02,14,100.0,0.0,0,207.85,47.32,0.47,424.79,418.03,3.38,0.03,3.38,97h 40m 4.29s,106h 27m 51.43s,88h 52m 17.14s,2973.56,-2926.24,-13.51,1.15,0.19,0.08,0.31,1.04,inf,1,74.91,3,3,-438.33,939.68,3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 10"""
36,25,11,10000.0,11638.18,0.69,0.64,36,100.0,0.0,0,593.31,1638.18,16.38,206.18,319.67,45.51,0.46,45.51,44h 39m 43.33s,53h 10m 48.00s,25h 18m 10.91s,5154.6,-3516.42,-14.91,44.3,1.36,2.97,2.5,1.3,inf,1,0.0,6,2,-373.82,995.41,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 5"""
23,11,12,10000.0,10440.32,0.48,1.22,23,100.0,0.0,0,357.6,440.32,4.4,372.82,305.06,19.14,0.19,19.14,58h 37m 54.78s,81h 35m 27.27s,37h 35m 10.00s,4101.06,-3660.74,-16.21,10.98,0.5,0.68,0.79,1.11,inf,1,0.0,3,4,-358.42,985.92,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 8"""
26,17,9,10000.0,11527.64,0.65,0.86,26,100.0,0.0,0,430.71,1527.64,15.28,235.07,274.28,58.76,0.59,58.76,50h 58m 16.15s,62h 54m 42.35s,28h 25m 0.00s,3996.18,-2468.54,-9.62,41.01,1.41,4.26,2.64,1.35,inf,1,0.0,6,2,-375.63,985.17,-1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 6"""
17,6,11,10000.0,9495.52,0.35,1.56,17,100.0,0.0,0,243.97,-504.48,-5.04,478.89,307.08,-29.68,-0.3,-29.68,71h 18m 7.06s,106h 9m 10.00s,52h 17m 32.73s,2873.36,-3377.84,-16.39,-11.76,-0.26,-0.72,-0.42,0.94,-inf,1,70.64,3,5,-325.22,920.33,3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 10"""
